地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強制性交等 Forced sexual intercourse， etc. 3),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering/theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
2,13228,あきる野市,Akiruno-shi,2,五日市署,Itsukaichi P. Sta.,140,-,-,-,-,-,-,1,-,-,-,-,-,12,4,-,3,-,4,81,9,-,1,-,-,-,3,2,-,-,-,19,1
2,13218,福生市,Fussa-shi,3,福生署,Fussa P. Sta.,1025,4,-,-,-,-,-,1,-,1,1,5,-,18,21,-,7,1,29,716,37,1,1,-,1,-,17,21,2,4,5,122,10
2,13201,八王子市,Hachioji-shi,4,八王子署,Hachioji P. Sta.,1116,2,-,-,-,2,1,-,-,2,3,3,-,41,58,-,9,2,30,664,52,4,2,-,-,-,20,31,5,17,1,161,6
2,13201,八王子市,Hachioji-shi,5,高尾署,Takao P. Sta.,540,1,-,-,-,-,-,-,-,1,1,-,-,21,19,-,1,-,16,329,22,1,1,-,-,-,2,16,5,8,1,88,7
2,13201,八王子市,Hachioji-shi,6,南大沢署,Minami-Osawa P. Sta.,923,1,-,2,-,1,-,2,-,-,1,1,-,19,20,-,6,5,29,563,78,2,2,-,-,-,16,30,4,9,-,126,6
2,13209,町田市,Machida-shi,7,町田署,Machida P. Sta.,1807,2,-,-,-,2,-,1,-,2,3,10,-,75,61,-,12,2,68,1076,145,2,13,-,-,-,15,22,20,13,1,241,21
2,13212,日野市,Hino-shi,8,日野署,Hino P. Sta.,557,-,-,-,-,-,-,-,-,1,-,3,-,21,16,-,7,1,38,301,65,2,-,-,-,-,8,13,3,7,1,70,-
2,13224,多摩市,Tama-shi,9,多摩中央署,Tamachuo P. Sta.,749,1,-,-,-,-,-,2,-,2,-,1,-,17,11,-,1,3,28,534,23,-,1,-,-,-,8,9,3,2,-,102,1
2,13207,昭島市,Akishima-shi,10,昭島署,Akishima P. Sta. ,509,-,-,-,-,-,-,-,-,1,-,6,-,16,12,-,8,1,24,330,31,-,2,-,-,-,3,5,4,5,1,58,2
2,13202,立川市,Tachikawa-shi,11,立川署,Tachikawa P. Sta.,1367,3,-,-,-,1,-,3,-,2,1,4,-,57,40,-,6,1,59,869,69,-,5,-,-,-,15,42,7,22,-,153,8
2,13220,東大和市,Higashiyamato-shi,12,東大和署,Higashiyamato P. Sta.,673,1,-,-,-,-,-,1,-,1,2,-,-,13,17,-,3,1,22,453,36,-,1,-,-,-,3,11,2,7,1,93,5
2,13206,府中市,Fuchu-shi,13,府中署,Fuchu P. Sta.　,1056,1,-,-,-,2,-,2,-,-,-,2,-,46,24,-,4,-,26,725,53,2,2,-,-,-,5,20,5,8,1,120,8
2,13210,小金井市,Koganei-shi,14,小金井署,Koganei P. Sta.,954,1,-,-,-,-,-,1,-,-,-,2,-,24,28,-,2,-,35,635,53,2,-,-,-,-,10,30,4,11,-,113,3
2,13229,西東京市,Nishitokyo-shi,15,田無署,Tanashi P. Sta.,1280,-,-,1,-,-,-,-,-,-,-,2,-,45,19,-,6,1,27,871,73,-,2,-,-,-,13,25,5,9,-,168,13
2,13211,小平市,Kodaira-shi,16,小平署,Kodaira P. Sta.,783,-,-,-,-,1,-,-,-,-,1,3,-,34,15,-,5,3,17,483,94,-,1,-,-,-,9,13,4,9,-,90,1
2,13213,東村山市,Higashimurayama-shi,17,東村山署,Higashimurayama P. Sta.,881,2,-,-,-,-,-,-,-,1,1,4,-,47,23,-,3,-,26,567,67,-,1,-,1,-,11,11,2,6,-,102,6
2,13203,武蔵野市,Musashino-shi,18,武蔵野署,Musashino P. Sta.,1012,2,-,-,-,-,-,-,-,-,1,1,-,36,15,-,1,-,75,707,55,1,5,-,-,-,7,17,4,2,-,79,4
2,13204,三鷹市,Mitaka-shi,19,三鷹署,Mitaka P. Sta.,647,-,-,-,-,-,-,-,-,1,-,-,-,28,23,-,2,-,22,398,50,2,2,-,-,-,6,16,1,4,1,89,2
2,13208,調布市,Chofu-shi,20,調布署,Chofu P. Sta.,1263,1,-,-,1,-,-,-,-,1,1,3,-,40,19,-,9,1,27,801,140,1,1,-,-,-,12,34,5,12,1,149,4
1,13350,島部,All islands　　,,,,28,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,7,13,2,-,-,-,-,-,-,-,-,1,-,2,-
2,13361,大島町,Oshima-machi,1,大島署,Oshima P. Sta. ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-
2,13363,新島村,Niijima-mura,2,新島署,Niijima P. Sta.,11,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,6,2,1,-,-,-,-,-,-,-,-,-,-,1,-
